id,invoice_number,customer_id,payment_term,payment_term_net_days,discount_pct,discount_days,issue_date,due_date,actual_payment_date,amount,currency,status,category,is_recurring,notes,created_at,updated_at
0cc586ba-9990-4edd-9d8e-52abe39be7a3,INV-001001,36430089-8079-4e82-9fac-a6ee68d4267f,Net 45,45,0,,2026-01-14,2026-02-28,2026-02-26,50000,GBP,paid,Custom Development,False,,2026-01-14T00:00:00,2026-02-26T00:00:00
a2298faa-adb3-4a92-8cef-01addf56ae03,INV-001002,9f95175c-2199-4b0b-9040-1325442f7d2e,Net 30,30,0,,2025-08-10,2025-09-09,2025-09-04,200000,USD,paid,Shipping,True,,2025-08-10T00:00:00,2025-09-04T00:00:00
d505cd14-db06-43cb-a1db-aad3523c6d91,INV-001003,17ab7d28-d869-4d67-99a5-23a38496673b,Net 30,30,0,,2025-10-28,2025-11-27,2025-11-27,15000,USD,paid,Subscription,False,,2025-10-28T00:00:00,2025-11-27T00:00:00
a3cfc5c0-b7bd-417b-b031-7d04b4320458,INV-001004,97cc95dd-7cb6-4b17-b385-56bfb3417ae0,Net 30,30,0,,2025-01-22,2025-02-21,2025-02-20,15000,EUR,paid,Materials,True,,2025-01-22T00:00:00,2025-02-20T00:00:00
ce67e08d-ac96-4103-b8a4-a8b535da1fbe,INV-001005,17ab7d28-d869-4d67-99a5-23a38496673b,Net 15,15,0,,2025-06-01,2025-06-16,2025-06-06,15000,GBP,paid,Consulting,False,,2025-06-01T00:00:00,2025-06-06T00:00:00
05f0117a-6af4-478d-8f6c-b59f342e06be,INV-001006,d1a9a00b-4319-4f7c-a22c-2f6d209f4f7c,Net 60,60,0,,2023-08-29,2023-10-28,2023-10-28,50000,AUD,paid,Training,False,,2023-08-29T00:00:00,2023-10-28T00:00:00
11bd348a-2038-4557-af9e-efbddfbe5b84,INV-001007,1adf6225-ddfe-415c-8b4c-38e12710b8d6,Net 30,30,0,,2025-03-10,2025-04-09,2025-04-08,15000,GBP,paid,Professional Services,True,,2025-03-10T00:00:00,2025-04-08T00:00:00
760bcb7a-7fa8-4e70-81bf-2ef8a607db45,INV-001008,baee066b-ad18-41eb-bfdc-d2e13a306e2a,Net 60,60,0,,2024-12-31,2025-03-01,2025-03-02,500000,JPY,paid,Software License,False,,2024-12-31T00:00:00,2025-03-02T00:00:00
b1a30592-9f37-4e05-830b-bac15281ba74,INV-001009,497b474f-ef38-4a5e-b169-03a08f2be3f3,Net 15,15,0,,2026-01-25,2026-02-09,2026-02-10,15000,JPY,paid,Consulting,False,,2026-01-25T00:00:00,2026-02-10T00:00:00
4e4d8a15-6530-4a02-9546-4da48fc7a239,INV-001010,875aa73d-e658-4f62-9025-9a7d87ee3a96,Net 45,45,0,,2025-10-02,2025-11-16,2025-11-18,200000,INR,paid,Hardware,False,,2025-10-02T00:00:00,2025-11-18T00:00:00
4e566c84-97e9-453b-9ad3-0a09103c79b9,INV-001011,63b07d85-ea6e-48c3-92e8-e6f7335ded23,Net 30,30,0,,2025-10-13,2025-11-12,2025-11-10,50000,USD,paid,Professional Services,False,,2025-10-13T00:00:00,2025-11-10T00:00:00
ee08f214-7d3a-4ae5-a7a2-566379c9d2bc,INV-001012,95e8c458-11b7-4fb5-8df0-29c03c64e300,Net 60,60,0,,2025-08-22,2025-10-21,2025-10-20,15000,USD,paid,Professional Services,True,,2025-08-22T00:00:00,2025-10-20T00:00:00
54d8ccec-f5f2-44c2-ad79-3dabd103de68,INV-001013,e31e0999-d21c-4091-ac18-906d42503002,Net 30,30,0,,2026-02-19,2026-03-21,2026-04-17,50000,GBP,paid,Consulting,False,,2026-02-19T00:00:00,2026-04-17T00:00:00
8666abe8-f23c-410a-942c-e3a2737873b7,INV-001014,1bbaeb3d-27da-49c5-af41-f88a142e9bf8,Net 30,30,0,,2024-05-20,2024-06-19,2024-06-18,200000,GBP,paid,Shipping,False,,2024-05-20T00:00:00,2024-06-18T00:00:00
6ad8ce12-b54b-4eca-9635-62ca0b38160c,INV-001015,703310d4-4b46-419f-801b-fca69f9bb487,Net 30,30,0,,2024-01-13,2024-02-12,2024-02-12,500000,GBP,paid,Maintenance,False,,2024-01-13T00:00:00,2024-02-12T00:00:00
a6421c8e-ec4c-42a9-82c2-96a04dd15f27,INV-001016,62bd8920-96c2-4569-98a7-680d3dc0fcc9,1/10 Net 45,45,1.0,10,2025-04-03,2025-05-18,2025-05-13,15000,USD,paid,Training,False,,2025-04-03T00:00:00,2025-05-13T00:00:00
0fd11899-03af-49ad-8d02-b709efc86272,INV-001017,765ec84e-ef88-4eba-9b60-6c8321a277a4,2/10 Net 30,30,2.0,10,2023-07-07,2023-08-06,2023-08-06,50000,EUR,paid,Consulting,False,,2023-07-07T00:00:00,2023-08-06T00:00:00
fc9735b4-9b89-436e-bef6-c8d43bfa0e8c,INV-001018,0f252a67-b135-4ef2-a083-bab452423f96,Net 60,60,0,,2024-11-07,2025-01-06,2025-01-01,15000,USD,paid,Maintenance,True,,2024-11-07T00:00:00,2025-01-01T00:00:00
907bf450-63e8-4fe0-839c-0b5687abbef4,INV-001019,85150274-149d-411d-ad5e-8af2a24ae106,Net 30,30,0,,2024-08-28,2024-09-27,2024-09-27,50000,USD,paid,Training,False,,2024-08-28T00:00:00,2024-09-27T00:00:00
29972b13-3ae0-4e56-8ec0-a7779b76c69a,INV-001020,497b474f-ef38-4a5e-b169-03a08f2be3f3,Net 15,15,0,,2024-10-28,2024-11-12,2024-11-26,15000,USD,paid,Training,False,,2024-10-28T00:00:00,2024-11-26T00:00:00
fbed6702-8795-41df-8c48-7a7572d58688,INV-001021,10daada4-0227-4522-98c5-5a60616ec228,1/10 Net 45,45,1.0,10,2025-01-26,2025-03-12,2025-04-02,200000,EUR,paid,Consulting,True,,2025-01-26T00:00:00,2025-04-02T00:00:00
b7e27d8a-4666-41a9-b3ca-88baaa54718b,INV-001022,f75ecd3d-1782-4064-aab7-239fe0e6c144,Net 30,30,0,,2023-09-14,2023-10-14,2023-10-12,200000,INR,paid,Subscription,False,,2023-09-14T00:00:00,2023-10-12T00:00:00
2d9eac3a-934c-4615-8afe-b34d67dc1b9a,INV-001023,497b474f-ef38-4a5e-b169-03a08f2be3f3,1/10 Net 45,45,1.0,10,2023-07-07,2023-08-21,2023-09-09,15000,CAD,paid,Maintenance,False,,2023-07-07T00:00:00,2023-09-09T00:00:00
76f3290a-5aee-4113-b322-c1a6ebb5a792,INV-001024,17ab7d28-d869-4d67-99a5-23a38496673b,Net 45,45,0,,2023-07-10,2023-08-24,2023-08-22,15000,USD,paid,Professional Services,False,,2023-07-10T00:00:00,2023-08-22T00:00:00
b834fced-2193-40a1-b135-ab446fd7663b,INV-001025,c7ec57a5-3068-4013-a342-bb9fa714b5f3,Net 30,30,0,,2023-06-22,2023-07-22,2023-07-22,50000,USD,paid,Materials,False,,2023-06-22T00:00:00,2023-07-22T00:00:00
eb2513f1-76cd-4393-bb31-51e251d5ca74,INV-001026,4ad804c4-ddbf-44d6-89f3-9d5125006001,Net 15,15,0,,2024-03-10,2024-03-25,2024-04-11,50000,GBP,paid,Hardware,False,,2024-03-10T00:00:00,2024-04-11T00:00:00
6973675b-37fa-4aee-81d9-ae325f833530,INV-001027,98ced867-281e-4127-b616-188f51a11f17,Net 15,15,0,,2025-09-12,2025-09-27,2025-11-17,500000,USD,paid,Custom Development,False,,2025-09-12T00:00:00,2025-11-17T00:00:00
a9d82a7d-d8c0-4dd4-af80-aef9b527085b,INV-001028,17ab7d28-d869-4d67-99a5-23a38496673b,1/10 Net 45,45,1.0,10,2024-01-27,2024-03-12,2024-03-05,15000,JPY,paid,Software License,True,,2024-01-27T00:00:00,2024-03-05T00:00:00
8a7b7cd9-b05e-40ee-86eb-8de1610fbbb8,INV-001029,20f40194-b82c-4a25-9105-de504d492089,Net 30,30,0,,2024-06-28,2024-07-28,2024-07-21,15000,JPY,paid,Training,False,,2024-06-28T00:00:00,2024-07-21T00:00:00
b188ca6a-c7ac-4cfc-b755-92a51a7244e0,INV-001030,943db33b-95b0-44e5-9aaf-f04e51454d87,Net 45,45,0,,2023-05-26,2023-07-10,2023-06-30,15000,AUD,paid,Hardware,True,,2023-05-26T00:00:00,2023-06-30T00:00:00
701d2ee8-c1c8-4205-9dc5-53e2e9fc091b,INV-001031,cc57d29e-f228-4c70-bc1d-c8f4654f2e50,Net 60,60,0,,2025-08-09,2025-10-08,2025-10-09,50000,USD,paid,Training,True,,2025-08-09T00:00:00,2025-10-09T00:00:00
d5d15025-9021-4007-8a39-db329babebbd,INV-001032,384d0e52-e8b4-4ecf-95cd-23e94c6f559d,Net 15,15,0,,2026-03-06,2026-03-21,2026-04-09,500000,USD,paid,Consulting,False,,2026-03-06T00:00:00,2026-04-09T00:00:00
c8d1a7ea-0b5f-4589-86b7-bad8bc8c134c,INV-001033,58ed8eab-59b5-42c8-a3c2-6e8bb9f49f1d,Net 60,60,0,,2024-04-30,2024-06-29,2024-06-27,15000,INR,paid,Consulting,False,,2024-04-30T00:00:00,2024-06-27T00:00:00
1b0f633f-a639-4781-836f-dc1af41eb13f,INV-001034,4be29b96-1a57-4563-a4f4-9cabf9fc5386,Net 15,15,0,,2023-12-19,2024-01-03,2024-01-02,15000,CAD,paid,Maintenance,False,,2023-12-19T00:00:00,2024-01-02T00:00:00
1e0589f3-6fb2-4a18-95e5-4e1d19eaaf69,INV-001035,7b786c34-5d9a-4239-a1dc-2749431408e7,Net 30,30,0,,2025-03-01,2025-03-31,2025-03-26,500000,GBP,paid,Professional Services,False,,2025-03-01T00:00:00,2025-03-26T00:00:00
cb81a22f-1c43-408b-a22f-98c31c9f277d,INV-001036,25c2efc6-34ff-4676-bd7f-67c15d31b732,Net 15,15,0,,2023-10-26,2023-11-10,2023-11-13,15000,GBP,paid,Software License,False,,2023-10-26T00:00:00,2023-11-13T00:00:00
82d603c7-3979-48db-9f03-c423ebb70fde,INV-001037,54f01827-acb7-4066-93c3-f485d87f86d2,Net 60,60,0,,2026-01-14,2026-03-15,2026-03-15,200000,EUR,paid,Materials,True,,2026-01-14T00:00:00,2026-03-15T00:00:00
14d90530-6b55-44f4-b611-b0949acb2f6e,INV-001038,497b474f-ef38-4a5e-b169-03a08f2be3f3,1/10 Net 45,45,1.0,10,2025-09-18,2025-11-02,2025-10-28,15000,USD,paid,Maintenance,False,,2025-09-18T00:00:00,2025-10-28T00:00:00
cd9baf45-45f7-4c0b-bb3b-d33ffbe86f60,INV-001039,678201ab-a85e-48d1-ae7c-39ac14385a1d,Net 15,15,0,,2024-05-08,2024-05-23,2024-05-16,200000,GBP,paid,Training,False,,2024-05-08T00:00:00,2024-05-16T00:00:00
18325c18-85d8-4a18-91bd-92b71e8a603c,INV-001040,47fdac5f-5d7e-45af-9302-5f5821518d82,Net 30,30,0,,2024-10-06,2024-11-05,2024-11-06,200000,CAD,paid,Training,False,,2024-10-06T00:00:00,2024-11-06T00:00:00
ece9ef58-f59b-407e-8bdf-3576267c8314,INV-001041,371e79b7-0dcf-4503-af81-bc791775979b,Net 90,90,0,,2025-07-05,2025-10-03,2025-10-02,500000,USD,paid,Training,True,,2025-07-05T00:00:00,2025-10-02T00:00:00
9cd1a140-783d-49f1-a869-4e10dee948f0,INV-001042,62bd8920-96c2-4569-98a7-680d3dc0fcc9,Net 45,45,0,,2024-08-17,2024-10-01,2024-12-09,15000,AUD,paid,Professional Services,False,,2024-08-17T00:00:00,2024-12-09T00:00:00
a74a78e0-1722-4b20-bcab-31413da01652,INV-001043,f708506d-fd80-4e1f-8d02-fa8005269dcd,Net 60,60,0,,2025-01-03,2025-03-04,2025-02-22,500000,USD,paid,Subscription,True,,2025-01-03T00:00:00,2025-02-22T00:00:00
64e6cfef-ec99-40fa-808a-fc41c6439297,INV-001044,10daada4-0227-4522-98c5-5a60616ec228,2/10 Net 30,30,2.0,10,2025-03-19,2025-04-18,2025-04-17,200000,USD,paid,Hardware,False,,2025-03-19T00:00:00,2025-04-17T00:00:00
60f6b9d4-7227-4066-9145-11077d52cbae,INV-001045,10500983-3b04-4111-b751-278b6b8a0911,Net 15,15,0,,2024-08-18,2024-09-02,2024-08-23,50000,USD,paid,Subscription,False,,2024-08-18T00:00:00,2024-08-23T00:00:00
5eca2d74-d733-4f70-a6aa-754465f62f8f,INV-001046,9da9d2d4-fa05-4fca-9b00-7da7b1093723,Net 45,45,0,,2023-09-28,2023-11-12,2023-11-29,200000,USD,paid,Consulting,False,,2023-09-28T00:00:00,2023-11-29T00:00:00
665639ce-574b-46fd-8484-1268222d3a5a,INV-001047,6c5d8b0d-a651-4992-93c1-169018271e29,Net 30,30,0,,2023-10-28,2023-11-27,2023-11-28,15000,USD,paid,Subscription,False,,2023-10-28T00:00:00,2023-11-28T00:00:00
f6a5eb33-51b6-443a-936b-b301c98c8625,INV-001048,4c4b7458-b287-43b7-8e76-d0cc3b9d0ccb,Net 30,30,0,,2023-12-14,2024-01-13,2024-01-08,50000,USD,paid,Maintenance,False,,2023-12-14T00:00:00,2024-01-08T00:00:00
4d95f03d-c715-4d40-9067-c5c258e655cc,INV-001049,c20f9eac-632d-44e5-aeb9-4b213315cc35,Net 15,15,0,,2023-08-14,2023-08-29,2023-08-30,200000,USD,paid,Materials,False,,2023-08-14T00:00:00,2023-08-30T00:00:00
a537b9f6-43c6-456f-9d5b-ee037d3c9098,INV-001050,36430089-8079-4e82-9fac-a6ee68d4267f,1/10 Net 45,45,1.0,10,2023-07-12,2023-08-26,2023-08-19,50000,AUD,paid,Hardware,False,,2023-07-12T00:00:00,2023-08-19T00:00:00
0aa227be-08a1-41d7-a65b-b234b15c1b34,INV-001051,97607fcc-5487-4827-8551-3e2e19145972,2/10 Net 30,30,2.0,10,2025-03-07,2025-04-06,2025-04-06,15000,USD,paid,Shipping,False,,2025-03-07T00:00:00,2025-04-06T00:00:00
992a9bc6-bd57-4d37-8c40-ecdb7aabfcf3,INV-001052,439f568b-5145-4ee5-8bbc-ace560dc32e8,Net 30,30,0,,2025-01-20,2025-02-19,2025-02-19,50000,USD,paid,Shipping,False,,2025-01-20T00:00:00,2025-02-19T00:00:00
282cd7e7-a4a3-45bf-8b72-6a174df5b835,INV-001053,53fda603-a63a-4e83-9067-7843cd385e56,2/10 Net 30,30,2.0,10,2026-01-08,2026-02-07,2026-02-04,500000,USD,paid,Shipping,False,,2026-01-08T00:00:00,2026-02-04T00:00:00
33ec2fd4-30d2-4829-b5bf-b4c0514ebb21,INV-001054,879e24fe-2d5b-4ff7-8983-1bf505594fb9,1/10 Net 45,45,1.0,10,2024-03-29,2024-05-13,2024-05-18,15000,GBP,paid,Professional Services,True,,2024-03-29T00:00:00,2024-05-18T00:00:00
b6affe73-310a-4ec5-b949-e3c7db95f436,INV-001055,4d7e9936-ee0c-409a-85ea-b32119329957,Net 45,45,0,,2024-08-29,2024-10-13,2024-10-13,500000,USD,paid,Maintenance,False,,2024-08-29T00:00:00,2024-10-13T00:00:00
286170b8-68a2-4453-aa1f-f9f4b5b7ebc7,INV-001056,e957ed37-0aba-45b4-a2ce-42fde91d0b2d,Net 60,60,0,,2025-01-27,2025-03-28,2025-03-28,15000,GBP,paid,Shipping,False,,2025-01-27T00:00:00,2025-03-28T00:00:00
490d72e4-f02d-413a-8bf5-cc40fccec9f1,INV-001057,8740ee70-6f36-49cc-bf12-95a69fdfd7eb,Net 30,30,0,,2024-09-13,2024-10-13,2024-10-13,50000,GBP,paid,Subscription,False,,2024-09-13T00:00:00,2024-10-13T00:00:00
73142ad0-9d49-49ec-a93e-9862bf85e30e,INV-001058,7fedd451-83dc-45be-b019-5ef4113f68f6,1/10 Net 45,45,1.0,10,2024-02-04,2024-03-20,2024-03-17,500000,CAD,paid,Custom Development,False,,2024-02-04T00:00:00,2024-03-17T00:00:00
82c7b58a-4c8b-4ff8-8a5d-04aae7f9d211,INV-001059,17ab7d28-d869-4d67-99a5-23a38496673b,Net 15,15,0,,2025-12-12,2025-12-27,2025-12-25,15000,JPY,paid,Shipping,False,,2025-12-12T00:00:00,2025-12-25T00:00:00
cfeb1d3a-7944-4a8a-a842-4da2e0f48ab2,INV-001060,0d20a6ea-67f4-4347-a672-117e7c982b8f,Net 30,30,0,,2025-07-05,2025-08-04,2025-08-22,500000,USD,paid,Subscription,False,,2025-07-05T00:00:00,2025-08-22T00:00:00
75d51919-d2c8-4e4f-ae9c-d4a3fd580025,INV-001061,7cc29853-c0e7-404e-bc00-11fa97c57c13,Net 30,30,0,,2023-10-26,2023-11-25,2023-11-11,50000,INR,paid,Consulting,False,,2023-10-26T00:00:00,2023-11-11T00:00:00
6744284b-4b6d-4a4a-b52a-2254c4f5f2db,INV-001062,7507aef7-1321-4f99-92e0-1a978939cc3a,Net 15,15,0,,2024-11-14,2024-11-29,2024-11-29,50000,CAD,paid,Training,False,,2024-11-14T00:00:00,2024-11-29T00:00:00
7b960f37-252a-4ff5-9d22-ef38e819b303,INV-001063,f443b5de-bc3e-4813-b542-457da5404ea5,Net 60,60,0,,2023-12-11,2024-02-09,2024-02-17,15000,USD,paid,Shipping,False,,2023-12-11T00:00:00,2024-02-17T00:00:00
14de3a92-ae8b-4fcb-9730-146c2b8739af,INV-001064,879e24fe-2d5b-4ff7-8983-1bf505594fb9,Net 30,30,0,,2025-10-18,2025-11-17,2025-11-15,15000,USD,paid,Professional Services,False,,2025-10-18T00:00:00,2025-11-15T00:00:00
0ce08f89-ef0f-4cca-8037-e70a47a32dd2,INV-001065,49bf3c96-8cc2-4a11-97eb-d3fdda2a471a,2/10 Net 30,30,2.0,10,2025-07-22,2025-08-21,2025-08-20,500000,USD,paid,Professional Services,False,,2025-07-22T00:00:00,2025-08-20T00:00:00
5d94301a-8fc0-4795-9638-de8d7868393f,INV-001066,2dd309a6-bfcf-42df-b7cc-de54444bcf3c,2/10 Net 30,30,2.0,10,2023-08-15,2023-09-14,2023-09-20,15000,USD,paid,Subscription,False,,2023-08-15T00:00:00,2023-09-20T00:00:00
3d67164e-8daa-4a69-aaf7-a09aab1dedf8,INV-001067,879e24fe-2d5b-4ff7-8983-1bf505594fb9,2/10 Net 30,30,2.0,10,2023-11-30,2023-12-30,2023-12-29,15000,USD,paid,Maintenance,True,,2023-11-30T00:00:00,2023-12-29T00:00:00
88c4a6ac-4fd2-411f-8245-4cb32d470d98,INV-001068,17ab7d28-d869-4d67-99a5-23a38496673b,1/10 Net 45,45,1.0,10,2023-10-03,2023-11-17,2023-11-17,15000,EUR,paid,Subscription,False,,2023-10-03T00:00:00,2023-11-17T00:00:00
345a9bfa-d48f-4f0f-a605-9efe14599aee,INV-001069,1600f567-544a-49d4-ad19-4e58d9e3dbc9,2/10 Net 30,30,2.0,10,2025-04-26,2025-05-26,2025-05-16,50000,EUR,paid,Hardware,False,,2025-04-26T00:00:00,2025-05-16T00:00:00
e75b2a1b-a81a-40b1-a367-962248e3231f,INV-001070,a7120c6c-3283-49cf-b05c-fbcfc7d8c498,Net 30,30,0,,2025-08-12,2025-09-11,2025-09-06,500000,USD,paid,Professional Services,False,,2025-08-12T00:00:00,2025-09-06T00:00:00
