id,invoice_id,payment_date,amount_paid,payment_method
a199b552-c4d3-4529-b007-fb846f875209,0cc586ba-9990-4edd-9d8e-52abe39be7a3,2026-02-26,50000,bank_transfer
1b482a20-9111-4c1e-83fb-e6b88c9fe527,a2298faa-adb3-4a92-8cef-01addf56ae03,2025-09-04,200000,ach
83e8e1b0-e5b5-49ac-901b-b5c183ae89b9,d505cd14-db06-43cb-a1db-aad3523c6d91,2025-11-27,15000,ach
93930a06-7514-4e15-97bf-b3bf41c16a3a,a3cfc5c0-b7bd-417b-b031-7d04b4320458,2025-02-20,15000,ach
813fc710-26f9-4801-9cd4-3a73c4d2f86f,ce67e08d-ac96-4103-b8a4-a8b535da1fbe,2025-06-06,15000,bank_transfer
3f986f22-ec99-4369-89bf-880508f229f9,05f0117a-6af4-478d-8f6c-b59f342e06be,2023-10-28,50000,bank_transfer
135e1776-046c-4475-a54b-64d87b641e1f,11bd348a-2038-4557-af9e-efbddfbe5b84,2025-04-08,15000,bank_transfer
ad780093-506c-4533-b0d2-2cbfef24c4fd,760bcb7a-7fa8-4e70-81bf-2ef8a607db45,2025-03-02,500000,check
da4830be-e21a-4d01-98fc-8a84af5b4270,b1a30592-9f37-4e05-830b-bac15281ba74,2026-02-10,15000,bank_transfer
8f1167fa-b814-4a91-9452-3bc3c4343d80,4e4d8a15-6530-4a02-9546-4da48fc7a239,2025-11-18,200000,bank_transfer
8bdf7370-857e-43f9-8f8f-94c54810fa92,4e566c84-97e9-453b-9ad3-0a09103c79b9,2025-11-10,50000,wire
b24cd346-3099-4303-8007-3818a1f08dc7,ee08f214-7d3a-4ae5-a7a2-566379c9d2bc,2025-10-20,15000,credit_card
76b4aa40-2726-47f6-ba82-b2e8efcaebdd,54d8ccec-f5f2-44c2-ad79-3dabd103de68,2026-04-17,50000,bank_transfer
eb75d14c-3703-4ea7-9ba7-c6dfc902e4df,8666abe8-f23c-410a-942c-e3a2737873b7,2024-06-18,200000,bank_transfer
63d91d7f-12af-454f-ab41-00e1057a3762,6ad8ce12-b54b-4eca-9635-62ca0b38160c,2024-02-12,500000,wire
f7ddc700-4df9-4d9f-9c12-820a051b8f39,a6421c8e-ec4c-42a9-82c2-96a04dd15f27,2025-05-13,15000,bank_transfer
cec50702-bf6c-4c77-b470-4f300f7e4333,0fd11899-03af-49ad-8d02-b709efc86272,2023-08-06,50000,bank_transfer
7e80d031-9e31-4341-a547-638643e828bc,fc9735b4-9b89-436e-bef6-c8d43bfa0e8c,2025-01-01,15000,ach
f0ea6620-1080-4e3d-b09e-997d0746176e,907bf450-63e8-4fe0-839c-0b5687abbef4,2024-09-27,50000,credit_card
a91893a2-2fa0-4f4e-98c5-916af7786d38,29972b13-3ae0-4e56-8ec0-a7779b76c69a,2024-11-26,15000,credit_card
42adb7ce-36b3-4f3d-9e76-1bfaf81163cf,fbed6702-8795-41df-8c48-7a7572d58688,2025-04-02,200000,credit_card
960bee63-d6fb-488f-837d-3848d578b34c,b7e27d8a-4666-41a9-b3ca-88baaa54718b,2023-10-12,200000,ach
b94df5de-66b7-47a3-a852-d44b72390d34,2d9eac3a-934c-4615-8afe-b34d67dc1b9a,2023-09-09,15000,ach
7e5c3546-586b-4ba4-ab0b-2ff4a3e4ffed,76f3290a-5aee-4113-b322-c1a6ebb5a792,2023-08-22,15000,ach
